simulation_id,n_obs,identity_cov_matrix,p_features,link_function,selector,share_of_truth_uncovered,ratio_total_select_coeffs_true_coeffs,false_pos_share_true_support,false_pos_share_right_selection,linear_effect_coverage,conf_int_width
0,100,True,20,linear_link,boruta_selector,0.5,0.5,0.0,0.0,True,[0.68945876 1.35510748]
0,100,True,20,linear_link,univariate_feature_selection,0.8,1.0,0.2,0.25,False,[0.13803291 0.94519301]
0,100,True,20,linear_link,lasso_feature_selection,0.7,1.1,0.4,0.5714285714285714,True,[0.8041666  1.15630307]
0,100,True,20,linear_link,adaptive_lasso_tuned,0.7,0.7,0.0,0.0,True,[0.92995235 1.14564423]
0,100,True,20,polynomial_link,boruta_selector,0.3,0.5,0.2,0.6666666666666666,False,[-6.75378339  0.88313481]
0,100,True,20,polynomial_link,univariate_feature_selection,0.0,0.1,0.1,,,
0,100,True,20,polynomial_link,lasso_feature_selection,0.0,0.0,0.0,,,
0,100,True,20,polynomial_link,adaptive_lasso_tuned,0.2,0.2,0.0,0.0,,
0,100,True,20,sine_link,boruta_selector,0.1,0.1,0.0,0.0,True,[0.6707234  1.31308098]
0,100,True,20,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.6707234  1.31308098]
0,100,True,20,sine_link,lasso_feature_selection,0.1,0.3,0.2,2.0,True,[0.67399696 1.32371175]
0,100,True,20,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.76057004 1.19289869]
0,100,True,80,linear_link,boruta_selector,0.3,0.5,0.2,0.6666666666666666,,
0,100,True,80,linear_link,univariate_feature_selection,0.2,0.2,0.0,0.0,,
0,100,True,80,linear_link,lasso_feature_selection,0.7,1.0,0.3,0.4285714285714285,True,[0.77694312 1.14538977]
0,100,True,80,linear_link,adaptive_lasso_tuned,0.7,0.7,0.0,0.0,True,[0.82093442 1.05925918]
0,100,True,80,polynomial_link,boruta_selector,0.1,0.2,0.1,1.0,,
0,100,True,80,polynomial_link,univariate_feature_selection,0.1,0.5,0.4,4.0,,
0,100,True,80,polynomial_link,lasso_feature_selection,0.0,0.0,0.0,,,
0,100,True,80,polynomial_link,adaptive_lasso_tuned,0.2,0.6,0.4,2.0,,
0,100,True,80,sine_link,boruta_selector,0.1,0.1,0.0,0.0,True,[0.63411625 1.3042066 ]
0,100,True,80,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.63411625 1.3042066 ]
0,100,True,80,sine_link,lasso_feature_selection,0.1,0.1,0.0,0.0,True,[0.63411625 1.3042066 ]
0,100,True,80,sine_link,adaptive_lasso_tuned,0.2,0.7,0.5,2.5,True,[0.7411423  1.17098471]
0,100,False,20,linear_link,boruta_selector,0.5,0.5,0.0,0.0,True,[0.63472999 1.2261865 ]
0,100,False,20,linear_link,univariate_feature_selection,0.9,1.8,0.9,1.0,True,[0.67658617 1.18908075]
0,100,False,20,linear_link,lasso_feature_selection,0.7,1.2,0.5,0.7142857142857143,True,[0.71640199 1.0802018 ]
0,100,False,20,linear_link,adaptive_lasso_tuned,0.7,0.7,0.0,0.0,True,[0.84921925 1.05246158]
0,100,False,20,polynomial_link,boruta_selector,0.2,0.3,0.1,0.5,,
0,100,False,20,polynomial_link,univariate_feature_selection,0.3,0.5,0.2,0.6666666666666666,True,[-4.22048588  2.10663416]
0,100,False,20,polynomial_link,lasso_feature_selection,0.0,0.0,0.0,,,
0,100,False,20,polynomial_link,adaptive_lasso_tuned,0.1,0.2,0.1,1.0,,
0,100,False,20,sine_link,boruta_selector,0.1,0.1,0.0,0.0,True,[0.33551024 1.08246781]
0,100,False,20,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.33551024 1.08246781]
