personal_id,vaccine_intention_jan,vaccine_intention_jul,p_2m_infected,p_2m_acquaintance_infected,p_2m_hospital_if_infect_self,p_2m_infected_and_pass_on,nervous_month,depressed_month,calm_month,gloomy_month,happy_month,covid_health_concern,covid_vaccine_effective,covid_vaccine_safe,covid_test_comply,work_status_social assistance,work_status_employed,work_status_retired,work_status_student or trainee,work_status_unemployed,infection_diagnosed_no,infection_diagnosed_unsure,support_current_measures,support_possible_measures,work_status_employed:hours_workplace,work_status_employed:hours_home,trust_gov,contact_older_people,subj_effect_measures,compliance_measures,subj_effect_behav_proven,subj_effect_behav_unproven,comply_curfew_self_yes,comply_curfew_self_no,comply_curfew_self_yes:comply_bc_civic,comply_curfew_self_yes:comply_bc_fear_punished,comply_curfew_self_yes:comply_bc_protect_self,comply_curfew_self_yes:comply_bc_protect_close,comply_curfew_self_yes:comply_bc_protect_all,comply_curfew_self_yes:comply_bc_high_risk,comply_curfew_self_no:disobey_bc_freedom,comply_curfew_self_no:disobey_bc_not_punish,comply_curfew_self_no:disobey_bc_unjustified,comply_curfew_self_no:disobey_bc_obligations,comply_curfew_self_no:disobey_bc_ineffective,comply_curfew_self_no:disobey_bc_unaffected,comply_curfew_self_no:disobey_bc_bored,n_contacts_personal,n_contacts_distanced,change_contacts_personal,change_contacts_distanced,loneliness,approp_gov_medical,approp_gov_restrict_public_life,approp_gov_econ_mitigation,approp_gov_communication,health_comparison_6m,concerns,avoidance_determined,avoidance_determined:avoidance_score,age,hh_members,hh_children,location_urban,edu_4,net_income,civil_status_Married,civil_status_Divorced,civil_status_Widow or widower,civil_status_Separated,profession_higher_academic,profession_higher_supervisory,profession_intermediate_academic,profession_intermediate_supervisory,profession_other_mental,profession_semiskilled_manual_work,profession_skilled_manual,profession_unskilled_manual_work,gender_male,"origin_First generation foreign, Western background","origin_First generation foreign, non-western background","origin_Second generation foreign, Western background","origin_Second generation foreign, non-western background",news_interest,political_interest,parties_not_care,ppl_no_influence,politically_able,understand_pol_issues,how_rightwing
800100,0.0,0.0,50.0,50.0,50.0,50.0,1,1,6,1,6,1,1,4,100.0,0,1,0,0,0,1,0,7,14,5.0,0.0,5.0,3.0,35.0,6.0,21.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,-4.0,3.0,5.0,5.0,3.0,3.0,15.0,1.0,0.0,29.0,3.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0
800170,0.0,0.0,30.0,25.0,10.0,50.0,1,1,5,2,4,1,2,1,75.0,0,1,0,0,0,1,0,7,10,30.0,0.0,4.0,3.0,35.0,3.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,1.0,3.0,0.0,3.0,4.0,2.0,2.0,3.0,13.0,0.0,0.0,61.0,3.0,2.0,4.0,3.0,2100.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,7.0
800201,90.0,100.0,80.0,80.0,10.0,60.0,4,4,3,4,1,5,4,2,90.0,0,1,0,0,0,0,0,10,23,24.0,0.0,5.0,5.0,34.0,4.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,15.0,1.0,0.6666666666666666,46.0,2.0,0.0,2.0,3.0,1900.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0
800216,100.0,100.0,30.0,70.0,20.0,30.0,1,1,5,2,5,4,4,2,80.0,1,0,0,0,0,1,0,10,21,0.0,0.0,4.0,1.0,29.0,3.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,2.0,-2.0,3.0,3.0,4.0,2.0,2.0,17.0,1.0,2.0,62.0,2.0,0.0,1.0,3.0,2200.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,6.0
800228,80.0,100.0,15.0,25.0,30.0,15.0,2,1,5,1,4,4,4,4,100.0,0,0,1,0,0,1,0,9,18,0.0,0.0,3.0,3.0,31.0,2.0,17.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,3.0,-6.0,3.0,3.0,3.0,2.0,2.0,17.0,1.0,0.3333333333333333,67.0,2.0,0.0,4.0,4.0,3200.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,4.0
800360,95.0,95.0,20.0,50.0,50.0,50.0,2,2,5,2,5,4,4,2,95.0,0,0,1,0,0,1,0,10,17,0.0,0.0,4.0,2.0,28.0,3.0,18.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,-3.0,3.0,3.0,3.0,3.0,3.0,22.0,1.0,3.0,67.0,2.0,0.0,4.0,4.0,2050.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,7.0
800463,70.0,100.0,75.0,55.0,90.0,20.0,2,3,2,2,2,5,4,4,90.0,0,1,0,0,0,1,0,11,28,3.0,0.0,2.0,1.0,32.0,5.0,15.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,-2.0,2.0,1.0,3.0,3.0,4.0,15.0,1.0,2.5,29.0,1.0,0.0,3.0,3.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,5.0
800497,80.0,100.0,50.0,50.0,50.0,50.0,1,1,5,1,5,5,4,4,100.0,0,0,1,0,0,1,0,10,21,0.0,0.0,3.0,1.0,19.0,3.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,3.0,-4.0,3.0,3.0,4.0,3.0,3.0,17.0,0.0,0.0,76.0,2.0,0.0,1.0,3.0,720.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0
800500,100.0,0.0,25.0,25.0,100.0,50.0,1,1,6,1,5,5,4,5,5.0,0,0,1,0,0,1,0,7,18,0.0,0.0,2.0,4.0,30.0,3.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,4.0,-5.0,2.0,4.0,1.0,2.0,3.0,8.0,0.0,0.0,67.0,2.0,0.0,2.0,1.0,1298.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,5.0
800570,85.0,100.0,50.0,50.0,25.0,50.0,2,1,5,2,5,4,4,3,100.0,0,1,0,0,0,1,0,7,14,40.0,0.0,4.0,2.0,24.0,3.0,21.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,2.0,2.0,-5.0,4.0,4.0,2.0,2.0,3.0,18.0,1.0,2.5,42.0,4.0,2.0,2.0,4.0,2500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,7.0
